-106828.30282704088,-101321.74130648235,,Point,874,Bom,Fechado dos Lados,Sim,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-107045.27,-101540.24,,Point,549,Bom,Fechado dos Lados,Sim,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-107036.05,-101530.9,,Point,548,Bom,Fechado dos Lados,Sim,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106707.27,-101357.94,,Point,404,Bom,Sem Abrigo,Não,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106688.88,-101392.42,,Point,403,Bom,Fechado dos Lados,Sim,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106862.17,-101462.2,,Point,399,Bom,Sem Abrigo,Não,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106850.3,-101488.95,,Point,398,Bom,Sem Abrigo,Não,Não,LT,111,51,Rua A Gazeta D´Oeiras,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-102028.47,-99961.71,,Point,141,Bom,Sem Abrigo,Não,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-102021.07,-99964.5,,Point,122,Bom,Sem Abrigo,Não,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-101894.85,-100053.16,,Point,121,Bom,Sem Abrigo,Não,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-101884.83,-100069.82,,Point,120,Bom,Fechado dos Lados,Sim,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-101709.63,-100014.88,,Point,119,Bom,Fechado dos Lados,Sim,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-101728.86,-100021.08,,Point,118,Bom,Fechado dos Lados,Não,Não,LT,"117,171",978,Avenida de Santo António de Tercena,Barcarena,n/a,2012/07
-106803.2,-96265.84,,Point,494,Bom,Sem Abrigo,Não,Não,Vimeca,01,389,Rua São João de Deus,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106757.3,-96240.22,,Point,480,Bom,Sem Abrigo,Não,Não,Vimeca,01,389,Rua São João de Deus,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106402.8,-99289.78,,Point,423,Bom,Fechado dos Lados,Sim,Não,LT,"108,117,158",1786,Rua de São João de Deus,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-105154.64,-96573.96,,Point,368,Bom,Fechado dos Lados,Não,Não,COMBUS,n/a,438,Rua Dona Joana Pedroso Simões Alves,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",Placa pouco legível,2012/07
-105660.54,-98769.86,,Point,325,Bom,Fechado dos Lados,Não,Não,LT,"108,115",1796,Rua das Tílias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-105658.22,-98790.53,,Point,324,Bom,Fechado dos Lados,Sim,Não,LT,"108,115",1796,Rua das Tílias,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106642.38,-99930.18,,Point,427,Bom,Aberto dos Lados,Não,Não,LT,"115,158",1785,Rua de São Gabriel,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106638.34,-99940.41,,Point,426,Bom,Aberto dos Lados,Não,Não,LT,"115,158",1785,Rua de São Gabriel,"Oeiras e São Julião da Barra, Paço de Arcos e Caxias",n/a,2012/07
-106263.4,-95432.65,,Point,663,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106448.94,-95449.29,,Point,662,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106702.76,-95584.31,,Point,661,Bom,Sem Abrigo,Não,Não,COMBUS,n/a,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106491,-95464.18,,Point,660,Bom,Fechado dos Lados,Sim,Não,COMBUS,n/a,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106676.23,-95569.51,,Point,659,Bom,Fechado dos Lados,Não,Não,COMBUS,n/a,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106263.4,-95432.65,,Point,64,Bom,Fechado dos Lados,Sim,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106281.59,-95428.61,,Point,63,Bom,Sem Abrigo,Não,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106448.94,-95449.29,,Point,62,Bom,Fechado dos Lados,Sim,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106702.76,-95584.31,,Point,59,Bom,Sem Abrigo,Não,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106491,-95464.18,,Point,58,Bom,Fechado dos Lados,Sim,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-106676.23,-95569.51,,Point,57,Bom,Fechado dos Lados,Não,Não,LT,114,142,Avenida da República,"Algés, Linda-a-Velha e Cruz Quebrada-Dafundo",n/a,2012/07
-102556.6,-102172.39,,Point,725,Bom,Sem Abrigo,Não,Não,LT,119,1671,Rua Professor Dr. José Pinto Peixoto,Porto Salvo,n/a,2012/07
-102556.6,-102172.39,,Point,131,Bom,Sem Abrigo,Não,Não,Vimeca,23,1671,Rua Professor Dr. José Pinto Peixoto,Porto Salvo,n/a,2012/07
-101951.09,-98783.02,,Point,126,Bom,Sem Abrigo,Não,Não,COMBUS,n/a,963,Rua Professor Dr. Jorge Mineiro,Barcarena,n/a,2012/07
-102509.72,-101859.8,,Point,995,Bom,Fechado dos Lados,Sim,Sim,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102515.87,-101878.09,,Point,994,Bom,Fechado dos Lados,Sim,Não,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102849.51,-101421.76,,Point,993,Bom,Fechado dos Lados,Sim,Sim,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102227.22,-101894.71,,Point,992,Bom,Fechado dos Lados,Sim,Não,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102227.55,-101920.36,,Point,991,Bom,Fechado dos Lados,Sim,Sim,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-101884.93,-101826.65,,Point,990,Bom,Fechado dos Lados,Não,Não,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102865.58,-101399.39,,Point,755,Bom,Fechado dos Lados,Sim,Não,n/a,Shuttle TAGUSPARK,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102515.87,-101878.09,,Point,729,Bom,Fechado dos Lados,Sim,Não,Vimeca,"15,23",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102509.72,-101859.8,,Point,728,Bom,Fechado dos Lados,Sim,Sim,Vimeca,15,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102515.87,-101878.09,,Point,727,Bom,Fechado dos Lados,Sim,Não,LT,"112,119,125",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102509.72,-101859.8,,Point,726,Bom,Fechado dos Lados,Sim,Sim,LT,"112,119,125",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102849.51,-101421.76,,Point,724,Bom,Fechado dos Lados,Sim,Sim,Vimeca,15,1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102865.58,-101399.39,,Point,723,Bom,Fechado dos Lados,Sim,Não,LT,"112,119,125",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102849.51,-101421.76,,Point,722,Bom,Fechado dos Lados,Sim,Sim,LT,"112,119,125",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
-102227.22,-101894.71,,Point,719,Bom,Fechado dos Lados,Sim,Não,Vimeca,"15,",1667,Avenida Professor Dr. Cavaco Silva,Porto Salvo,n/a,2012/07
